6.4,2.8,5.6,2.1,2
5.3,3.7,1.5,0.2,0
7.7,3.8,6.7,2.2,2
4.3,3.0,1.1,0.1,0
5.2,3.5,1.5,0.2,0
6.1,2.8,4.7,1.2,1
7.4,2.8,6.1,1.9,2
5.4,3.7,1.5,0.2,0
5.8,2.8,5.1,2.4,2
6.9,3.2,5.7,2.3,2
5.7,3.0,4.2,1.2,1
5.4,3.0,4.5,1.5,1
6.6,3.0,4.4,1.4,1
6.4,3.2,5.3,2.3,2
6.0,2.9,4.5,1.5,1
6.2,3.4,5.4,2.3,2
6.7,3.0,5.2,2.3,2
7.7,3.0,6.1,2.3,2
4.4,3.2,1.3,0.2,0
4.4,3.0,1.3,0.2,0
6.5,3.0,5.5,1.8,2
6.3,2.3,4.4,1.3,1
5.7,2.6,3.5,1.0,1
6.8,3.2,5.9,2.3,2
5.8,4.0,1.2,0.2,0
5.7,2.9,4.2,1.3,1
5.2,4.1,1.5,0.1,0
5.0,3.5,1.3,0.3,0
6.0,2.2,4.0,1.0,1
5.8,2.6,4.0,1.2,1
5.0,3.2,1.2,0.2,0
